	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
10	DB01645	Genistein	Currently Genistein is being studied in clinical trials as a treatment for prostate cancer.  	PTK2B, NCOA1, TOP2A, ESR1, ESRRA, CYP1B1, SHBG, NR1I2, AKT1, ESR2, ESRRB, GPER1, NCOA2	-1.2577157081150319	0.06265155396569679
11	DB00975	Dipyridamole	For as an adjunct to coumarin anticoagulants in the prevention of postoperative thromboembolic complications of cardiac valve replacement and also used in prevention of angina.	PDE5A, PDE4A, ADA, PDE10A, RCAN1, ORM1	-2.274130728840568	0.0627040870611613
12	DB01229	Paclitaxel	Used in the treatment of Kaposi's sarcoma and cancer of the lung, ovarian, and breast. Abraxane® is specfically indicated for the treatment of metastatic breast cancer and locally advanced or metastatic non-small cell lung cancer.	MAP2, NR1I2, MAP4, TUBB1, MAPT, BCL2	-3.4121464395959014	0.09923239619718832
13	DB00615	Rifabutin	For the prevention of disseminated <i>Mycobacterium avium</i> complex (MAC) disease in patients with advanced HIV infection.	HSP90AA1, HSP90B1	-6.465122590781321	0.10073364471333186
14	DB04216	Quercetin		CEBPB, SHBG, UGT3A1, CBR1, AHR, ESR1, CYP1B1, CSNK2B, STK17B, SF3B3, RUVBL2, EIF3F, HSP90AA1, HSPA2, ATP5F1B, NR1I2, CSNK2A1, HCK, ATP5F1C, PIM1, PIK3CG, ESR2, UBA1, HIBCH, ATP5F1A, ACTB, NQO2	-1.1991399265004103	0.11693382003435195
15	DB07594	CCT-018159		HSP90AA1, HSP90AB1	-12.112358426096778	0.11892489990022986
16	DB12695	Phenethyl Isothiocyanate		DIABLO, VCP, NUDC, CYB5B, RANBP1, VIM, SF3A3, TUBB1, TUBB2A, HSPH1, ATP5ME, YWHAZ, TUBA3C, UCHL1, PSMC3, SMARCE1, PAPPA, TUBA1A, YWHAH, TPM1, S100A10, YWHAB, HSPA4, TUBB3, HSPB1, TUBB4B, FBXO41, ATP5F1B, TPM3, TUBA4A, ATP5MG, HSPE1, HNRNPK, TPD52L2, TPM4, PSMA3, ACTA2, TXN, YWHAQ, USP14, YWHAE, MT-ND1, SUCLG2, ACTB, HNRNPF	-1.0731071971011454	0.12296072516931161
17	DB00608	Chloroquine	"Chloroquine is indicated to treat infections of _P. vivax_, _P. malariae_, _P. ovale_, and susceptible strains of _P. falciparum_.[L12051] It is also used to treat extraintestinal amebiasis.[L12051]

Chloroquine is also used off label for the treatment of rheumatic diseases,[A191655] as well as treatment and prophylaxis of Zika virus.[A191649,A191652] Chloroquine is currently undergoing clinical trials for the treatment of COVID-19.[A191631]"	HMGB1, GSTA2, ACE2, GSTM1, TNF, TLR9	-1.9211188078769565	0.14741205285200693
18	DB01092	Ouabain	For the treatment of atrial fibrillation and flutter and heart failure	ATP1A2, ATP1A3, ATP1A1	-3.8186656291681844	0.18401375735920678
19	DB13954	Estradiol cypionate	Depo-Estradiol intramuscular depot injection is indicated for the treatment of moderate to severe vasomotor symptoms and hypoestrogenism due to hypogonadism.	ESR1, MT-ATP6, NR1I2, ESR2, CHRNA4, GPER1, HSD17B2, ESRRG, NCOA2, BECN1	-2.1937480746991223	0.2421270556220236
